orgId,name
4777709,Escola Técnica Leiaut Cariele
6804463,Pensar Cursos
10078209,Universidad Privada Del Norte
10084529,Universidad Continental
4579215,Maya Academy of Advanced Cinematics
4579211,Arena Animation
10078149,University of Mumbai
3811314,Institute Of Company Secretaries Of India (Delhi)
10047686,Manipal Institute of Technology Bengaluru (MIT)
11261102,PW Vidyapeeth Coaching Center Jammu (IIT JEE NEET Foundation)
664631,Rama Devi Women's University
11428082,Simplifica Treinamentos
4546063,Govt Polytechnic College
664194,National Institute Of Pharmaceutical Educational And Research
11579084,Estácio
11421976,UNOPAR
5967594,Hero Vired
10292480,Jetking
3807821,India Heart Foundation
11252596,College of Health Sciences and Technology 135 Ezzangbo
10234442,Alhaj Abdul Mannan Degree College
10537979,Uttara Town College
11355442,Altschool Africa
11583120,Unicesumar
10568427,Lions School and College
3830403,Infinity Institute Of Technology
661711,Islamic Arabic University
10266080,School of Nursing Iyienu Mission Hospital Ogid
661039,Benazir Bhutto Shaheed University Lyari
10236851,Kendriya Vidyalaya Picket
11344233,Raj Computers Academy
