OrgID,University Name,Website Domain,Source
3810018,Accurate Institute Of Management And Technology (Uttar Pradesh),accurate.in,name
3842662,Agra College,agracollegeagra.org.in,name
3824833,"Ashoka Institute Of Technology And Management (Varanasi, Uttar Pradesh)",ashokainstitute.com,name
10074202,Atal Bihari Vajpayee Medical University Uttar Pradesh,abvmuup.edu.in,name
3825201,Bareilly College,"bareillycollege.org, bcb.ac.in",name
4781909,Board Of Technical Education Uttar Pradesh,"bteup.ac.in, bteurise.up.gov.in",name
664311,Bundelkhand University,bujhansi.ac.in,name
664314,Chatrapati Sahuji Maharaj Kanpur University,"csjmu.ac.in, kanpuruniversity.org",name
5411058,Chaudhary Charan Singh University,"ccsuniversity.ac.in, imsnoida.com",name
4868644,"Chhatrapati Shahu Ji Maharaj University, Kanpur","csjmkanpuruniversity.org, csjmu.ac.in, kanpuruniversity.org",name
664317,Deen Dayal Upadhyay Gorakhpur University,ddugu.ac.in,name
10150297,Deen Dayal Upadhyaya Gorakhpur University,"ddugu.ac.in, ddugu.edu.in",name
3819560,Dr A P J Abdul Kalam Technical University Faculty Of Architecture,"aktu.ac.in, foaaktu.ac.in",name
664321,"Dr. Shakuntala Misra National Rehabilitation University Mohaan Road, Lucknow",dsmru.up.nic.in,name
3813902,Era's Lucknow Medical College & Hospital,erauniversity.in,name
664323,Gautam Buddha University,"ccc.gbu.ac.in, erp.gbu.ac.in, exams.gbu.ac.in, gbu.ac.in, pravesh.gbu.ac.in",name
10044837,"Government Institute of Medical Sciences, Uttar Pradesh",gims.ac.in,name
4545880,"Government Polytechnic, Bhilihili, Azamgarh",gpbhilihili-azm.in,name
10051885,Greater Noida Institute Of Technology,"gniot.net.in, gniotgroup.edu.in, gnitipu.in",name
3829110,"Greater Noida Institute Of Technology (Gautam Buddha Nagar, Uttar Pradesh)","gniot.net.in, gniotgroup.edu.in",name
4832492,Iec College Of Engineering Greater Noida,"iec.edu.in, ieccollege.com",name
664324,Iftm University,iftmuniversity.ac.in,name
10200954,IIMT College of Engineering,"iimtcollege.edu.in, iimtindia.net, iimtindia.net.in, iimtu.edu.in",name
3830239,Iimt College Of Engineering,iimtindia.net,name
664681,Iimt University,"iimtindia.net, vmsuniversity.in",name
10331154,Indira Gandhi National Open University Varanasi Regional Centre,"ignou.ac.in, rcvaranasi.ignou.ac.in",name
3830537,"Institute Of Technology & Management (Gorakhpur, Uttar Pradesh)",itmgkp.edu.in,name
3830520,"Isabella Thoburn College (Lucknow, Uttar Pradesh)","itcollege.ac.in, itcollegesociety.in",name
664354,Khwaja Moinuddin Chishti Urdu Arabi Farsi University,uafulucknow.ac.in,name
664332,"King George Medical University (Lucknow, Uttar Pradesh)","kgmcindia.edu, kgmu.org",name
10150037,"Krishna Mohan Medical College & Hospital, Mathura",kmmedicalcollege.in,name
3832271,Lucknow Christian College,lcdc.edu.in,name
3832453,Lucknow Public College Of Professional Studies,lpcpsportal.com,name
664333,Lucknow University,lkouniv.ac.in,name
10147897,"Maa Shakumbhari University, Saharanpur",msuniversity.ac.in,name
10232938,Maharishi University of Information Technology Noida,"muit.in, muitnoida.edu.in",name
10147817,"Mahatma Gandhi Kashi Vidyapith, Varanasi",mgkvp.ac.in,name
664334,Mahatma Jyotiba Phule Rohilkhand University,mjpru.ac.in,name
3832779,Mangalmay Institute Of Management & Technology Knowledge Park Ii Greater Noida,mangalmay.org,name
3833175,Meerut College,mcm.ac.in,name
3833431,"Microtek College Of Management And Technology (Varanasi, Uttar Pradesh)",microtek.ac.in,name
6798019,"MJP Rohilkhand University,Bareilly","mjpru.ac.in, mjpru.indiaexaminfo.co.in, mjpru.samarth.ac.in, mjpruadm.samarth.edu.in, mjprudor.ac.in, mjprueds.in, mjpruiums.in",name
5879237,MMH College Ghaziabad,mmhcollegeghaziabad.com,name
10054970,"National Capital Region Institute of Medical Sciences, Meerut",ncrinstituteofmedicalsciences.com,name
3834881,"National P. G. College (Lucknow, Uttar Pradesh)",npgc.in,name
11433137,PM SHRI Kendriya Vidyalaya No 1 Cantt Shahjahanpur (Shift I),kvs.ac.in,name
3828112,Raja Balwant Singh Engineering Technical Campus,fetrbs.org,name
10042657,"Raja Mahendra Pratap Singh State University, Aligarh","rmpssu.ac.in, rmpssu.org",name
10042656,"Raja Mahendra Pratap Singh State University, Aligarh","rmpssu.ac.in, rmpssu.org",name
10039619,"Rajkiya Engineering College, Sonbhadra",recsonbhadra.ac.in,name
3845752,Rajshree Medical Research Institute & Hospital Bareilly,rajshreemri.in,name
4867134,"Rama Medical College Hospital & Research Centre, Hapur","ramamedicalcolleges.com, ramauniversity.ac.in",name
5411425,Rohilkhand Medical College & Hospital,rmcbareilly.com,name
664530,Shobhit University,shobhituniversity.ac.in,name
10299670,Swami Vivekanand Subharti University,subharti.org,name
664351,Swami Vivekananda Subharti University,subharti.org,name
3841377,"United College Of Engineering And Research (Allahabad, Uttar Pradesh)",united.ac.in,name
3841378,"United College Of Engineering And Research (Gautam Buddha Nagar, Uttar Pradesh)",united.ac.in,name
3841380,"United Institute Of Management (Allahabad, Uttar Pradesh)",united.ac.in,name
3841382,"United Institute Of Technology (Allahabad, Uttar Pradesh)",united.ac.in,name
664355,University Of Allahabad,allduniv.ac.in,name
7578275,"Uttar Pradesh Rajarshi Tandon Open University, Prayagraj",uprtou.ac.in,name
664674,Uttar Pradesh University Of Medical Sciences,upums.ac.in,name
664357,Veer Bahadur Singh Purvanchal University,"vbspu.ac.in, vbspu.samarth.ac.in, vbspu.samarth.edu.in",name
10148231,"Veer Bahadur Singh Purvanchal University, Jaunpur, UP, India",vbspu.ac.in,name
